,year,total_accident,mean_severity,mean_casualty
0,2005,198735,2.8447429994716584,1.36371046871462
1,2006,189161,2.8371863121890875,1.3660532562208911
2,2007,182115,2.836641682453395,1.360568871317574
3,2008,170591,2.8370195379592125,1.353559097490489
4,2010,154414,2.845208336031707,1.351224629891072
5,2011,151474,2.8377279269049476,1.3464356919339293
